City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
uva,56.9908,52.1852,-9.56,93.0,99.0,2.28,RU,1733614418.0
rumoi,43.9344,141.6428,-1.73,76.0,98.0,6.78,JP,1733614418.0
port saint john's,-31.6229,29.5448,21.98,84.0,96.0,5.55,ZA,1733614419.0
findlay,41.0442,-83.6499,4.54,49.0,100.0,1.34,US,1733614140.0
elizabeth city,36.2946,-76.2511,3.0,50.0,0.0,2.57,US,1733614419.0
karpenisi,38.9167,21.7833,1.67,95.0,75.0,2.28,GR,1733614419.0
al muwayh,22.4333,41.7583,17.65,29.0,5.0,5.16,SA,1733614420.0
chibougamau,49.9168,-74.3659,-16.21,92.0,100.0,3.09,CA,1733614420.0
la paz,-16.5,-68.15,13.99,71.0,75.0,3.09,BO,1733614227.0
nizhnesortymskiy,62.4397,71.7603,-19.51,100.0,97.0,3.44,RU,1733614420.0
codrington,-38.2667,141.9667,14.99,57.0,49.0,6.31,AU,1733614420.0
el porvenir,13.7617,-87.3458,23.16,78.0,85.0,2.54,HN,1733614420.0
petropavlovsk-kamchatsky,53.0452,158.6483,0.33,75.0,100.0,7.0,RU,1733614420.0
tsiombe,-25.3,45.4833,22.97,91.0,1.0,2.16,MG,1733614421.0
cabedelo,-6.9811,-34.8339,26.37,77.0,88.0,4.34,BR,1733614421.0
haiku-pauwela,20.9219,-156.3051,26.79,78.0,24.0,9.83,US,1733614421.0
sodankyla,67.4167,26.6,-0.13,93.0,100.0,5.36,FI,1733614424.0
kapuskasing,49.4169,-82.4331,-10.95,92.0,100.0,5.14,CA,1733614261.0
piti village,13.4626,144.6933,30.03,78.0,20.0,7.72,GU,1733614424.0
keflavik,64.0049,-22.5624,-0.76,74.0,0.0,9.77,IS,1733614424.0
arraial do cabo,-22.9661,-42.0278,24.45,91.0,99.0,2.01,BR,1733614295.0
morteros,-30.7116,-61.9986,20.57,39.0,70.0,4.85,AR,1733614426.0
west island,-12.1568,96.8225,25.99,89.0,75.0,7.72,CC,1733614426.0
bawku,11.0616,-0.2417,23.31,22.0,31.0,4.12,GH,1733614426.0
tokar,18.4254,37.729,26.22,71.0,13.0,5.3,SD,1733614426.0
mount isa,-20.7333,139.5,33.87,49.0,8.0,4.12,AU,1733614426.0
baikonur,45.6167,63.3167,-5.14,51.0,0.0,4.09,KZ,1733614427.0
nha trang,12.25,109.1833,26.0,87.0,91.0,3.51,VN,1733614428.0
nizhniy odes,63.6445,54.856,-17.01,98.0,99.0,2.13,RU,1733614428.0
challapata,-18.9,-66.7667,13.79,54.0,65.0,5.02,BO,1733614428.0
quixada,-4.9714,-39.0153,26.1,65.0,56.0,3.29,BR,1733614428.0
pontes e lacerda,-15.2261,-59.3353,23.72,95.0,92.0,1.23,BR,1733614347.0
las rozas de madrid,40.4929,-3.8737,8.34,54.0,0.0,9.83,ES,1733614428.0
brazil,39.5237,-87.125,6.33,52.0,0.0,5.14,US,1733614326.0
alice springs,-23.7,133.8833,30.75,55.0,100.0,6.69,AU,1733614288.0
fort st. john,56.2499,-120.8529,0.94,93.0,75.0,2.57,CA,1733614222.0
hammerfest,70.6634,23.6821,3.25,75.0,40.0,3.09,NO,1733614429.0
nova vicosa,-17.8919,-39.3719,25.06,85.0,41.0,4.11,BR,1733614429.0
road town,18.4167,-64.6167,24.02,88.0,40.0,4.63,VG,1733614430.0
isheyevka,54.4167,48.2667,-7.73,79.0,94.0,4.58,RU,1733614430.0
shakiso,5.75,38.9167,10.94,51.0,53.0,2.08,ET,1733614430.0
vadso,70.0744,29.7487,1.09,80.0,75.0,8.75,NO,1733614436.0
champerico,14.3,-91.9167,27.21,71.0,15.0,2.1,GT,1733614436.0
anadyr,64.75,177.4833,-26.67,75.0,20.0,4.92,RU,1733614436.0
puerto baquerizo moreno,-0.9,-89.6,23.07,83.0,84.0,4.04,EC,1733614436.0
praia da vitoria,38.7333,-27.0667,18.14,94.0,40.0,4.06,PT,1733614436.0
bilibino,68.0546,166.4372,-26.4,85.0,28.0,1.84,RU,1733614436.0
devils lake,48.1128,-98.8651,2.99,81.0,0.0,6.17,US,1733614436.0
namtsy,62.7161,129.6658,-26.61,100.0,98.0,1.17,RU,1733614437.0
bridgewater,44.3835,-64.5155,-6.18,82.0,79.0,4.63,CA,1733614329.0
holualoa,19.6228,-155.9522,26.02,75.0,0.0,5.66,US,1733614437.0
portland,45.5234,-122.6762,9.41,96.0,75.0,2.24,US,1733614370.0
manglaur,29.8,77.8667,9.72,45.0,0.0,2.32,IN,1733614438.0
la campana,37.5689,-5.4267,11.69,65.0,76.0,1.21,ES,1733614438.0
turkmenbasy,40.0222,52.9552,1.43,75.0,0.0,7.2,TM,1733614438.0
kone,-21.0595,164.8658,31.82,47.0,57.0,1.2,NC,1733614438.0
khanty-mansiysk,61.0042,69.0019,-12.94,85.0,75.0,2.0,RU,1733614438.0
vilyuchinsk,52.9306,158.4028,1.15,97.0,100.0,6.9,RU,1733614438.0
desna,50.9273,30.7605,1.87,93.0,100.0,6.24,UA,1733614439.0
mweka,-4.85,21.5667,18.32,94.0,94.0,0.76,CD,1733614439.0
saint-laurent-du-maroni,5.5039,-54.0289,23.13,95.0,71.0,1.32,GF,1733614439.0
tifton,31.4505,-83.5085,8.27,61.0,0.0,0.0,US,1733614425.0
saldanha,-33.0117,17.9442,16.03,79.0,4.0,4.74,ZA,1733614439.0
hawaiian paradise park,19.5933,-154.9731,27.73,76.0,0.0,5.66,US,1733614440.0
yeppoon,-23.1333,150.7333,27.64,63.0,8.0,4.27,AU,1733614440.0
yanchep,-31.55,115.6833,24.01,50.0,0.0,4.83,AU,1733614441.0
magadan,59.5667,150.8,-8.4,75.0,33.0,5.07,RU,1733614441.0
borculo,52.1158,6.5222,6.68,94.0,100.0,7.34,NL,1733614441.0
carnarvon,-24.8667,113.6333,23.31,76.0,13.0,7.96,AU,1733614441.0
evanston,42.0411,-87.6901,10.0,48.0,75.0,9.26,US,1733614441.0
shumikha,55.2261,63.2961,-12.4,94.0,86.0,2.65,RU,1733614441.0
kandyagash,49.4744,57.4233,-9.33,66.0,0.0,3.28,KZ,1733614441.0
port macquarie,-31.4333,152.9167,31.71,61.0,14.0,3.13,AU,1733614245.0
tingi,-11.3,35.0333,18.53,87.0,85.0,1.98,TZ,1733614443.0
winchester,51.0651,-1.3187,7.58,81.0,100.0,11.32,GB,1733614443.0
walvis bay,-22.9575,14.5053,16.53,88.0,66.0,5.14,NA,1733614443.0
luanda,-8.8368,13.2343,27.0,83.0,75.0,2.06,AO,1733613914.0
kongolo,-5.3833,27.0,20.66,93.0,100.0,0.1,CD,1733614443.0
hithadhoo,-0.6,73.0833,27.56,74.0,49.0,6.22,MV,1733614444.0
arno,60.1167,18.6333,1.73,90.0,100.0,2.28,SE,1733614447.0
galliano,29.4422,-90.2992,12.0,71.0,40.0,3.6,US,1733614447.0
pundong,-7.9522,110.3486,26.07,86.0,100.0,0.71,ID,1733614447.0
markala,13.7021,-6.0659,22.2,19.0,100.0,3.89,ML,1733614447.0
sitka,57.0531,-135.33,6.94,81.0,100.0,0.0,US,1733614448.0
atkarsk,51.8718,45.0078,-8.84,91.0,57.0,4.17,RU,1733614448.0
chernyshevskiy,63.0128,112.4714,-27.69,100.0,18.0,2.06,RU,1733614448.0
al ghayzah,16.2079,52.176,24.87,38.0,100.0,6.3,YE,1733614448.0
kiruna,67.8557,20.2251,-2.49,86.0,20.0,5.14,SE,1733614453.0
bardai,11.65,7.2333,15.73,31.0,3.0,4.35,NG,1733614454.0
sao vicente,-23.9631,-46.3919,23.86,26.0,100.0,0.45,BR,1733614454.0
ketchikan,55.3422,-131.6461,7.26,88.0,100.0,5.14,US,1733614255.0
brigantine,39.4101,-74.3646,2.79,59.0,40.0,2.06,US,1733614454.0
kovalam,8.3667,76.9967,27.05,83.0,75.0,1.03,IN,1733614454.0
kangding,30.0513,101.9603,-1.58,89.0,75.0,1.44,CN,1733614454.0
fort mcmurray,56.7268,-111.381,1.73,80.0,100.0,1.03,CA,1733614454.0
marabba,12.35,32.1833,27.83,28.0,38.0,4.72,SD,1733614454.0
san patricio,28.017,-97.5169,14.97,77.0,100.0,3.27,US,1733614455.0
broken hill,-31.95,141.4333,21.86,24.0,17.0,7.59,AU,1733614285.0
al jahra',29.3375,47.6581,17.21,29.0,12.0,3.73,KW,1733614455.0
biharamulo,-2.6319,31.3089,15.31,81.0,71.0,0.61,TZ,1733614455.0
prince rupert,54.3161,-130.3201,7.83,76.0,100.0,9.77,CA,1733614455.0
ypsonas,34.6884,32.9574,13.54,88.0,20.0,1.03,CY,1733614455.0
chiras,35.4167,65.9823,-12.56,96.0,98.0,2.0,AF,1733614455.0
chihuahua,28.5,-106.0,15.46,49.0,20.0,3.88,MX,1733614212.0
pul-e 'alam,33.9953,69.0227,-1.88,42.0,100.0,0.85,AF,1733614456.0
kaitong,44.8135,123.15,-12.3,79.0,3.0,2.31,CN,1733614456.0
santa elena de uairen,4.6167,-61.1333,22.98,63.0,100.0,1.42,VE,1733614456.0
sogndal,61.2283,7.1003,2.21,100.0,100.0,2.06,NO,1733614456.0
matamey,13.4231,8.4749,14.46,22.0,0.0,4.76,NE,1733614456.0
dilling,12.05,29.65,23.82,38.0,66.0,3.33,SD,1733614456.0
muan,34.9897,126.4714,1.94,87.0,75.0,3.09,KR,1733614456.0
queenstown,-31.8976,26.8753,16.54,81.0,85.0,0.6,ZA,1733614457.0
severo-yeniseyskiy,60.3725,93.0408,-15.39,98.0,99.0,0.92,RU,1733614457.0
pandan,14.0453,124.1694,27.34,88.0,95.0,5.54,PH,1733614457.0
kerikeri,-35.2268,173.9474,22.57,53.0,100.0,4.11,NZ,1733614457.0
remire-montjoly,4.9167,-52.2667,24.02,88.0,100.0,2.06,GF,1733614457.0
dudinka,69.4058,86.1778,-26.38,100.0,97.0,1.53,RU,1733614458.0
guilin,25.2819,110.2864,10.06,37.0,100.0,5.69,CN,1733614458.0
bodden town,19.2833,-81.25,26.0,78.0,20.0,7.2,KY,1733614458.0
salinopolis,-0.6136,-47.3561,24.39,90.0,84.0,2.91,BR,1733614458.0
val-d'or,48.1002,-77.7828,-11.95,85.0,100.0,6.17,CA,1733614458.0
ouesso,1.6136,16.0517,23.58,71.0,76.0,0.71,CG,1733614458.0
yarim,14.298,44.3779,7.16,43.0,0.0,3.32,YE,1733614458.0
aykhal,66.0,111.5,-22.93,99.0,98.0,3.78,RU,1733614458.0
malinyi,-8.9333,36.1333,22.12,94.0,85.0,0.77,TZ,1733614459.0
ta`u,-14.2336,-169.5144,28.03,78.0,100.0,5.06,AS,1733614459.0
margate,51.3813,1.3862,7.71,84.0,100.0,2.24,GB,1733614459.0
sirte,31.2089,16.5887,16.08,68.0,21.0,6.45,LY,1733614459.0
nuku'alofa,-21.1333,-175.2,29.19,74.0,75.0,2.57,TO,1733614459.0
sandnessjoen,66.0217,12.6316,4.01,84.0,100.0,8.92,NO,1733614459.0
